labels	dialog_state	sent	utterance	context	Emoberta_softmax	VAD_personality	dialog_state_sum
0	[1]	 You can not do this.	 You can not do this.	<pad>	[[0.08357878029346466, 0.01498950645327568, 0.007978769950568676, 0.28449273109436035, 0.4715171158313751, 0.011020283214747906, 0.1264229118824005]]	[0.5029335714285714, 0.34023000000000003, 0.5859785714285715, 0.15098977857142853, 0.026330321428571446]	1
1	[0, 0, 0, 0]	 Man's got a point.  Well, the tough thing is, she really wants to have sex with me.  Crazy bitch.  Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean.	<pad>	 Man's got a point. Well, the tough thing is, she really wants to have sex with me. Crazy bitch. Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean.	[[0.8321573734283447, 0.012610290199518204, 0.0019318661652505398, 0.08643788844347, 0.06150403618812561, 0.0034079195465892553, 0.0019505799282342196], [0.6841558814048767, 0.05805094167590141, 0.00429642666131258, 0.04169594496488571, 0.14416489005088806, 0.045259471982717514, 0.02237643301486969], [0.04450061917304993, 0.032193686813116074, 0.0019460773328319192, 0.7959009408950806, 0.016668951138854027, 0.10660645365715027, 0.002183240605518222], [0.9010783433914185, 0.02953878790140152, 0.0009148161043412983, 0.017017299309372902, 0.033602528274059296, 0.005981594789773226, 0.011866718530654907]]	[0.5019445833333332, 0.34640499999999996, 0.5813291666666667, 0.1522174541666667, 0.03725352083333333]	0
0	[0]	 Oh my God!!! What are you doing?!!	<pad>	 Oh my God!!! What are you doing?!!	[[0.0015763106057420373, 0.009393680840730667, 0.9685484766960144, 0.009007057175040245, 0.004586614668369293, 0.003918904811143875, 0.0029689576476812363]]	[0.4602633333333333, 0.3233533333333333, 0.54088, 0.14670976666666669, 0.0386488333333333]	0
1	[0]	 Because, I can't! Ross, I told you, no. I can't.	<pad>	 Because, I can't! Ross, I told you, no. I can't.	[[0.013642748817801476, 0.01107142772525549, 0.00705660181120038, 0.5920787453651428, 0.23585562407970428, 0.010783068835735321, 0.12951183319091797]]	[0.7816449999999999, 0.47703, 0.73872, 0.11491214999999999, 0.04426075000000007]	0
0	[0, 1]	 Hey, Kicky. What're you doing?  Just trying to get comfortable. I can't sleep in my underwear.	 Just trying to get comfortable. I can't sleep in my underwear.	 Hey, Kicky. What're you doing?	[[0.9166894555091858, 0.07022242248058319, 0.004704993683844805, 0.0031693202909082174, 0.003899810602888465, 0.0006646656547673047, 0.0006494386470876634], [0.8179500699043274, 0.1425299048423767, 0.0018237056210637093, 0.009446348063647747, 0.006494051776826382, 0.014713337644934654, 0.007042658049613237]]	[0.5158596296296296, 0.37478814814814815, 0.6394922222222222, 0.18878706296296296, 0.04593679629629632]	1
1	[0, 0]	 Well, my secretary is gonna be out for a couple of weeks. She is having one of her boobs redused. (Ross looks at her.) It's a whole big boob story.  I could be a secretary.	<pad>	 Well, my secretary is gonna be out for a couple of weeks. She is having one of her boobs redused. (Ross looks at her.) It's a whole big boob story. I could be a secretary.	[[0.9241267442703247, 0.017099900171160698, 0.0021137145813554525, 0.010204844176769257, 0.03366426005959511, 0.0075399745255708694, 0.0052504767663776875], [0.7800025343894958, 0.19290275871753693, 0.003133194986730814, 0.013438352383673191, 0.005723294802010059, 0.003762346925213933, 0.0010376236168667674]]	[0.5042192307692307, 0.3726784615384615, 0.6591146153846155, 0.2062822692307693, 0.03885519230769224]	0
1	[0, 1, 0]	 Oh, hi Mrs. Lynch! Is Joanna in already?  Oh my goodness! You haven't heard!  Heard what?	 Oh my goodness! You haven't heard!	 Oh, hi Mrs. Lynch! Is Joanna in already? Heard what?	[[0.5371297001838684, 0.42361319065093994, 0.016660116612911224, 0.01636565290391445, 0.0034963113721460104, 0.0006526701617985964, 0.0020823231898248196], [0.005265041720122099, 0.11264102905988693, 0.8492615222930908, 0.02107737399637699, 0.006152531132102013, 0.0015522247413173318, 0.004050276707857847], [0.5733563899993896, 0.07833705097436905, 0.18413320183753967, 0.13492977619171143, 0.01715235970914364, 0.001829453045502305, 0.01026185229420662]]	[0.47710714285714284, 0.3482228571428571, 0.6044076190476191, 0.1824679761904762, 0.039046071428571416]	1
1	[1]	 So, I hear, you hate me!	 So, I hear, you hate me!	<pad>	[[0.020533766597509384, 0.13982632756233215, 0.4618803858757019, 0.262563556432724, 0.041881926357746124, 0.0049498118460178375, 0.06836427003145218]]	[0.48122269230769243, 0.36343153846153853, 0.6419888461538462, 0.2078153576923077, 0.042161788461538396]	1
0	[0, 0, 0]	 (running through the door) No! Oh! You're alive! You're alive!  See Pheebs, I promised you no one would die, didn't I?  Yeah, well, we'll see about that. Can I use your phone? I just wanna call everyone I know.	<pad>	 (running through the door) No! Oh! You're alive! You're alive! See Pheebs, I promised you no one would die, didn't I? Yeah, well, we'll see about that. Can I use your phone? I just wanna call everyone I know.	[[0.013192065991461277, 0.42969778180122375, 0.4860677123069763, 0.024388588964939117, 0.016960332170128822, 0.003196464851498604, 0.026497097685933113], [0.06055639311671257, 0.09861346334218979, 0.01847834140062332, 0.11409460753202438, 0.44850748777389526, 0.00326717272400856, 0.2564825117588043], [0.3025481700897217, 0.018439263105392456, 0.0038403919897973537, 0.04149003326892853, 0.45478010177612305, 0.0035036567132920027, 0.17539843916893005]]	[0.24524, 0.3068, 0.7818700000000001, 0.4148708, -0.00835600000000003]	0
1	[1, 0, 1]	 Ma! What're you doing here?  I came to give you this (Gives him a bag of groceries) and this. (Whacks him round the ear)  Oww! Big ring!	 Ma! What're you doing here? Oww! Big ring!	 I came to give you this (Gives him a bag of groceries) and this. (Whacks him round the ear)	[[0.016849113628268242, 0.025844547897577286, 0.9355799555778503, 0.012924843467772007, 0.005289264023303986, 0.0011274495627731085, 0.002384820720180869], [0.5919327139854431, 0.06541090458631516, 0.0017146075842902064, 0.30122989416122437, 0.013597349636256695, 0.02411838062107563, 0.0019961379002779722], [0.004163696896284819, 0.035391710698604584, 0.9333450794219971, 0.012790962122380733, 0.006871381308883429, 0.0050080521032214165, 0.002429063431918621]]	[0.4394814285714286, 0.34748, 0.6498864285714285, 0.23227684285714287, 0.03235635714285706]	2
1	[0, 0, 0, 0, 0, 1, 0, 0]	 We've got the ground-up flesh of formerly cute cows and turkeys, ew... (hands meat to Monica)  (in a deep voice) Men are here.  We make fire. Cook meat.  Then put out fire by peeing, no get invited back.  Ewww!  Oh Joey, Melanie called, said she's gonna be late.  Oh, OK.  So how are things going with you two? Is she becoming your (provocatively) special someone?	 Oh Joey, Melanie called, said she's gonna be late.	 We've got the ground-up flesh of formerly cute cows and turkeys, ew... (hands meat to Monica) (in a deep voice) Men are here. We make fire. Cook meat. Then put out fire by peeing, no get invited back. Ewww! Oh, OK. So how are things going with you two? Is she becoming your (provocatively) special someone?	[[0.004274418111890554, 0.007281206082552671, 0.01179241668432951, 0.0219438374042511, 0.02507668361067772, 0.9213595390319824, 0.008271956816315651], [0.9227578639984131, 0.051757972687482834, 0.004179088864475489, 0.008267911151051521, 0.0029107837472110987, 0.0021848122123628855, 0.007941639982163906], [0.9208350777626038, 0.04203863814473152, 0.0009976018918678164, 0.02543313428759575, 0.007862892933189869, 0.0014287254307419062, 0.0014040219830349088], [0.3162164092063904, 0.10759755969047546, 0.012377762235701084, 0.06659673154354095, 0.09088432043790817, 0.3326404094696045, 0.07368678599596024], [0.005971986334770918, 0.0327012725174427, 0.07956083118915558, 0.04780696704983711, 0.022908514365553856, 0.7858264446258545, 0.025223921984434128], [0.8195000886917114, 0.01550766546279192, 0.005216128192842007, 0.007965878583490849, 0.138204887509346, 0.002948224311694503, 0.010657038539648056], [0.9640311598777771, 0.00596820330247283, 0.0005573493544943631, 0.016240859404206276, 0.010912574827671051, 0.0016024422366172075, 0.0006873615784570575], [0.9275604486465454, 0.058973975479602814, 0.004111379384994507, 0.004854056518524885, 0.0025368419010192156, 0.0008712538983672857, 0.0010920449858531356]]	[0.4751927272727272, 0.3655790909090909, 0.6487568181818182, 0.216650490909091, 0.044447000000000014]	1
0	[0, 0, 0]	 You're gonna do some feet flirtin'!  I don't what your talking about. (Laughs nervously and continues to leaqve)  Then how do you explain the toe ring?!	<pad>	 You're gonna do some feet flirtin'! I don't what your talking about. (Laughs nervously and continues to leaqve) Then how do you explain the toe ring?!	[[0.026944641023874283, 0.9389466047286987, 0.00935825239866972, 0.01666480302810669, 0.002018408151343465, 0.002356272889301181, 0.0037111006677150726], [0.3949449062347412, 0.5043187737464905, 0.019289474934339523, 0.05480356514453888, 0.009723757393658161, 0.0035680050496011972, 0.013351441361010075], [0.04020431265234947, 0.008318508975207806, 0.8949383497238159, 0.03393041342496872, 0.011426198296248913, 0.005940065253525972, 0.005242174491286278]]	[0.45379624999999996, 0.31870916666666665, 0.5503300000000001, 0.15389682083333342, 0.030549937499999957]	0
1	[0]	 No thanks, I have a good one too. I just, I, I can't see him.	<pad>	 No thanks, I have a good one too. I just, I, I can't see him.	[[0.7118444442749023, 0.04082077369093895, 0.00156795559450984, 0.02048623003065586, 0.20914509892463684, 0.005168946925550699, 0.010966611094772816]]	[0.0, 0.0, 0.0, 0.0, 0.0]	0
1	[0, 0, 0, 0, 0, 1, 0]	 Hey, how'd it go? How'd she like the gift?  Oh, man, she loved it! She's over there showing Monica and Rachel right now.  Oh yeah? That's great!  Hey, listen, I gotta tell ya, I feel kinda bad taking credit for this, because man, am I gonna get a lot of credit for this!  [nodding, with mixed feelings] Aahhuuhhh....  Hey.  Hey!	 Hey.	 Hey, how'd it go? How'd she like the gift? Oh, man, she loved it! She's over there showing Monica and Rachel right now. Oh yeah? That's great! Hey, listen, I gotta tell ya, I feel kinda bad taking credit for this, because man, am I gonna get a lot of credit for this! [nodding, with mixed feelings] Aahhuuhhh.... Hey!	[[0.9500394463539124, 0.026236500591039658, 0.004336546175181866, 0.0038767000660300255, 0.012590892612934113, 0.0007939833449199796, 0.002125884871929884], [0.0041495561599731445, 0.9789419174194336, 0.010639917105436325, 0.0029219966381788254, 0.0017717608716338873, 0.0009094239794649184, 0.0006654597818851471], [0.011267687194049358, 0.926517128944397, 0.04380064457654953, 0.014700453728437424, 0.0016553528839722276, 0.000720580923371017, 0.0013382579199969769], [0.05957886949181557, 0.9152679443359375, 0.012605654075741768, 0.004973158240318298, 0.0028729543555527925, 0.0020906291902065277, 0.002610856434330344], [0.6701622605323792, 0.24464169144630432, 0.004332317970693111, 0.015389003790915012, 0.05666785314679146, 0.001618242240510881, 0.007188725285232067], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.0821119174361229, 0.5927538275718689, 0.22088342905044556, 0.08926165103912354, 0.00799039751291275, 0.0013988883001729846, 0.005599874537438154]]	[0.5676882051282054, 0.3914148717948719, 0.6459392307692307, 0.16568417435897417, 0.04664958974358979]	1
1	[1, 0]	 Mom, we've been through this. No, I'm not calling him. I don't care if it is his kid, the guy's a jerk. No, I'm not alone. Joey's here. (pause) What do you mean, Joey who? (covers the phone, to Joey) Joey who?  Tribbiani.	 Mom, we've been through this. No, I'm not calling him. I don't care if it is his kid, the guy's a jerk. No, I'm not alone. Joey's here. (pause) What do you mean, Joey who? (covers the phone, to Joey) Joey who?	 Tribbiani.	[[0.01838390901684761, 0.006641985848546028, 0.0057985796593129635, 0.8981068134307861, 0.018143929541110992, 0.04278915002942085, 0.010135553777217865], [0.9641504287719727, 0.0077875591814517975, 0.0005662552430294454, 0.01589847169816494, 0.010171659290790558, 0.0008895431528799236, 0.0005360905779525638]]	[0.5106289285714286, 0.3524278571428572, 0.5941460714285713, 0.1563706678571428, 0.036738696428571416]	1
0	[0, 0, 0]	 You changed?  Yeah, I did. I needed my lucky dress.  And lucky means, more cleavage?	<pad>	 You changed? Yeah, I did. I needed my lucky dress. And lucky means, more cleavage?	[[0.8282281160354614, 0.035056859254837036, 0.08192542940378189, 0.027030210942029953, 0.020333699882030487, 0.0008982783765532076, 0.006527459714561701], [0.7060519456863403, 0.21791870892047882, 0.0015119294403120875, 0.05336403846740723, 0.01851489022374153, 0.0009068517829291523, 0.0017315701115876436], [0.31457942724227905, 0.5164651274681091, 0.10751353949308395, 0.022000471130013466, 0.02355518750846386, 0.0031529520638287067, 0.01273332443088293]]	[0.5604894736842105, 0.36345263157894736, 0.6074210526315789, 0.13551005263157884, 0.02748184210526311]	0
1	[0, 0]	 So that's the girl you like.  Yeah.	<pad>	 So that's the girl you like. Yeah.	[[0.8876703977584839, 0.08058934658765793, 0.0013077526818960905, 0.024973701685667038, 0.0035265993792563677, 0.0015820865519344807, 0.0003501744067762047], [0.969780683517456, 0.007162469904869795, 0.0007300840225070715, 0.012851065024733543, 0.008281093090772629, 0.0007323499885387719, 0.00046215238398872316]]	[0.6173299999999999, 0.4445, 0.736715, 0.20833110000000005, 0.061860499999999985]	0
1	[1, 0, 1, 0]	 Hi. You guys have any wrapping paper?  Oo! Is it for my birthday present?  Phebes, it was your birthday, like, months ago.  Yeah, but remember you said you ordered something special, and it just hasn't come yet?	 Hi. You guys have any wrapping paper? Phebes, it was your birthday, like, months ago.	 Oo! Is it for my birthday present? Yeah, but remember you said you ordered something special, and it just hasn't come yet?	[[0.9610329866409302, 0.02517283335328102, 0.0035149871837347746, 0.002363095059990883, 0.004828908015042543, 0.0014174451353028417, 0.001669786754064262], [0.01769043318927288, 0.7611867189407349, 0.18622195720672607, 0.02142801508307457, 0.0075103724375367165, 0.0010045464150607586, 0.004957850091159344], [0.7092112898826599, 0.0748000368475914, 0.033206287771463394, 0.10373180359601974, 0.07282279431819916, 0.0032846664544194937, 0.0029430799186229706], [0.911455512046814, 0.022634556517004967, 0.01563877984881401, 0.031225010752677917, 0.01179748959839344, 0.001208736328408122, 0.006039844825863838]]	[0.5387362790697675, 0.38546511627906976, 0.6647041860465116, 0.19246214418604646, 0.04113304651162786]	2
0	[1, 0, 1]	 Hey!  Umm, when were you gonna tell me that you're going out with Chip Matthews?  Now? Is it okay if I go out with Chip Matthews?	 Hey! Now? Is it okay if I go out with Chip Matthews?	 Umm, when were you gonna tell me that you're going out with Chip Matthews?	[[0.0821119174361229, 0.5927538275718689, 0.22088342905044556, 0.08926165103912354, 0.00799039751291275, 0.0013988883001729846, 0.005599874537438154], [0.27036190032958984, 0.5000791549682617, 0.19422978162765503, 0.0116839949041605, 0.01295106578618288, 0.004723834339529276, 0.005970323923975229], [0.9372621774673462, 0.02328352816402912, 0.00974737387150526, 0.0056921192444860935, 0.007681459654122591, 0.0021486033219844103, 0.014184786006808281]]	[0.4742082500000001, 0.34521500000000005, 0.6003259999999999, 0.18068877749999998, 0.03775463750000002]	2
1	[0, 0]	 No, no, no, this weekend guys!  It'll be great for next weekend. I mean, (in an Irish accent) it'll be grrreat.	<pad>	 No, no, no, this weekend guys! It'll be great for next weekend. I mean, (in an Irish accent) it'll be grrreat.	[[0.1350371390581131, 0.11778398603200912, 0.09668576717376709, 0.18631336092948914, 0.10985865443944931, 0.053806647658348083, 0.3005144000053406], [0.005345131736248732, 0.9890872240066528, 0.0007378145819529891, 0.0035019363276660442, 0.0006079585291445255, 0.0003396158281248063, 0.0003803821746259928]]	[0.44627750000000005, 0.32818500000000006, 0.592815, 0.186890925, 0.027979624999999952]	0
0	[0]	 I need to get some Richard.	<pad>	 I need to get some Richard.	[[0.9598496556282043, 0.011307393200695515, 0.0009320066892541945, 0.010010483674705029, 0.011643920093774796, 0.0034340491984039545, 0.0028224908746778965]]	[0.49024999999999996, 0.32289999999999996, 0.5356666666666666, 0.12341416666666666, 0.029037499999999994]	0
1	[0, 0]	 What's a matter Ross? What you're nervous about your speech?  No! Do you wanna hear it?	<pad>	 What's a matter Ross? What you're nervous about your speech? No! Do you wanna hear it?	[[0.3807775676250458, 0.10319636762142181, 0.06022937595844269, 0.1612003743648529, 0.22000451385974884, 0.008089420385658741, 0.0665024146437645], [0.32498711347579956, 0.6014208793640137, 0.031058743596076965, 0.0356057733297348, 0.002465208061039448, 0.0019833804108202457, 0.002478834241628647]]	[0.6250700000000001, 0.42720400000000003, 0.701488, 0.17522490000000002, 0.05038849999999989]	0
