labels	dialog_state	sent	utterance	context	Emoberta_softmax	VAD_personality	dialog_state_sum
0	[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]	 Hey.  Hey.  Hey listen, I'm sorry about what happened. . .  Yeah me too.  I know. Yeah.  Yeah. So do we need to hug here or. . .  No, we're alright.  So I got ya something. [tosses Joey a bag of plastic spoons]  Plastic spoons. Great.  Lick away my man.  These'll go great in my new place. You know, 'till I get real ones.	 Hey. Hey listen, I'm sorry about what happened. . . I know. Yeah. No, we're alright. Plastic spoons. Great. These'll go great in my new place. You know, 'till I get real ones.	 Hey. Yeah me too. Yeah. So do we need to hug here or. . . So I got ya something. [tosses Joey a bag of plastic spoons] Lick away my man.	[[0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.3367515504360199, 0.011206753551959991, 0.0015292461030185223, 0.048178594559431076, 0.5888136029243469, 0.005430320743471384, 0.008089850656688213], [0.48659253120422363, 0.04053864628076553, 0.003257109085097909, 0.03321080654859543, 0.4274469316005707, 0.00503495242446661, 0.003919022623449564], [0.376757949590683, 0.07505130767822266, 0.0013533912133425474, 0.026564614847302437, 0.5116733312606812, 0.00533160287886858, 0.0032678579445928335], [0.3997454047203064, 0.5793077349662781, 0.006424679886549711, 0.004740974400192499, 0.006899281404912472, 0.0006762537523172796, 0.002205661265179515], [0.9261372089385986, 0.009641173295676708, 0.001289417501538992, 0.006182337645441294, 0.04854126647114754, 0.0012602065689861774, 0.006948536261916161], [0.8761430382728577, 0.1125205010175705, 0.0013831047108396888, 0.00612235814332962, 0.0021415960509330034, 0.0009778267703950405, 0.0007117257337085903], [0.6109887957572937, 0.27798551321029663, 0.0051280478946864605, 0.08183994889259338, 0.009391187690198421, 0.009700692258775234, 0.004965795204043388], [0.04380545765161514, 0.028890326619148254, 0.0033370840828865767, 0.2797962725162506, 0.012013744562864304, 0.6244303584098816, 0.007726761978119612], [0.11987117677927017, 0.8428511023521423, 0.0009185093222185969, 0.014984054490923882, 0.01871361956000328, 0.0015811159973964095, 0.001080447225831449]]	[0.5128334000000001, 0.36913360000000006, 0.6346574, 0.185355778, 0.04136488999999999]	6
1	[0, 0, 0]	 Nooo Way! The most romantic song ever is The Way We Were.  See, I-I think that one that Elton John wrote for, um, that guy on Who's The Boss.  What song was that, Pheebs?	<pad>	 Nooo Way! The most romantic song ever is The Way We Were. See, I-I think that one that Elton John wrote for, um, that guy on Who's The Boss. What song was that, Pheebs?	[[0.03341458737850189, 0.9495052099227905, 0.007533777039498091, 0.003017086535692215, 0.0032375373411923647, 0.0021617005113512278, 0.0011300703044980764], [0.9612739682197571, 0.029240453615784645, 0.0012985561043024063, 0.0014293445274233818, 0.004690887872129679, 0.001003615208901465, 0.0010632561752572656], [0.8810661435127258, 0.07083921134471893, 0.035265225917100906, 0.007210118230432272, 0.0027646259404718876, 0.0016139389481395483, 0.0012408604379743338]]	[0.0, 0.0, 0.0, 0.0, 0.0]	0
0	[0, 0, 0, 0, 0, 1, 0]	 Hey.  Hey.  (Reading) 'A Woman Undone, by Rachel Karen Green'.  Yeah. Thought I'd give it a shot. I'm still on the first chapter. Now, do you think his 'love stick can be liberated from its denim prison'?  (Reads) Yeah, I'd say so. And there's no 'j' in 'engorged'.  (Walks up with her guitar) Hey Rach.  Hey.	 (Walks up with her guitar) Hey Rach.	 Hey. Hey. (Reading) 'A Woman Undone, by Rachel Karen Green'. Yeah. Thought I'd give it a shot. I'm still on the first chapter. Now, do you think his 'love stick can be liberated from its denim prison'? (Reads) Yeah, I'd say so. And there's no 'j' in 'engorged'. Hey.	[[0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9751123785972595, 0.010073142126202583, 0.0007308433996513486, 0.006799374241381884, 0.005835202056914568, 0.0008167925989255309, 0.0006322889821603894], [0.9686751961708069, 0.020500170066952705, 0.0005711747799068689, 0.005940255243331194, 0.0019364756299182773, 0.001539565739221871, 0.0008371436269953847], [0.40732771158218384, 0.5607985258102417, 0.00761334178969264, 0.012652411125600338, 0.003232404123991728, 0.006558405701071024, 0.0018171820556744933], [0.9318749904632568, 0.05749383196234703, 0.0008729023393243551, 0.004123597871512175, 0.004437458235770464, 0.0006681766826659441, 0.0005290650296956301], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718]]	[0.49538875000000004, 0.35055000000000003, 0.6152475, 0.17721671249999996, 0.030684812499999936]	1
1	[1, 0, 1]	 (getting an idea) Hey, y'know what a really good rainy day game is?  What?!  I mean naked game. Strip poker, we should totally play strip poker.	 (getting an idea) Hey, y'know what a really good rainy day game is? I mean naked game. Strip poker, we should totally play strip poker.	 What?!	[[0.9509516358375549, 0.040104638785123825, 0.0007093468448147178, 0.004084873478859663, 0.001582515542395413, 0.0013557210331782699, 0.0012113108532503247], [0.042884115129709244, 0.01558014191687107, 0.8952372670173645, 0.03470498323440552, 0.007444071117788553, 0.0011356764007359743, 0.0030136327259242535], [0.03210435062646866, 0.9484599828720093, 0.004187106620520353, 0.00326389167457819, 0.004162100609391928, 0.005135662388056517, 0.0026870029978454113]]	[0.5301554545454545, 0.3577481818181818, 0.6266786363636363, 0.1636118818181819, 0.02260849999999992]	2
1	[0, 1, 0, 0, 1]	 Is that the heartbeat?  That's it.  Oh my God!  Oh wow! This is so cool.  Have we talked about the possibility of multiple births?	 That's it. Have we talked about the possibility of multiple births?	 Is that the heartbeat? Oh my God! Oh wow! This is so cool.	[[0.8068364262580872, 0.09595515578985214, 0.05601094290614128, 0.02171814627945423, 0.007742445450276136, 0.0013344896724447608, 0.010402337647974491], [0.8725882768630981, 0.025866445153951645, 0.0017855571350082755, 0.07417449355125427, 0.02073066122829914, 0.0037126627285033464, 0.0011419040383771062], [0.001513320836238563, 0.012799856252968311, 0.9634166955947876, 0.01009700633585453, 0.0053532919846475124, 0.003560802433639765, 0.0032590331975370646], [0.007827715948224068, 0.8160102963447571, 0.15774478018283844, 0.010183803737163544, 0.0045639751479029655, 0.001961510395631194, 0.001707857009023428], [0.9024316072463989, 0.0331667922437191, 0.017570506781339645, 0.011576719582080841, 0.013740532100200653, 0.0019191233441233635, 0.019594687968492508]]	[0.5032525000000001, 0.36724333333333337, 0.6474525, 0.19784834166666665, 0.036783374999999896]	2
0	[0, 1, 0, 1]	 (In a sexy voice.)Hello Joey.  Hey, Felicity.  Umm, I thought about you all day.  Yeah.	 Hey, Felicity. Yeah.	 (In a sexy voice.)Hello Joey. Umm, I thought about you all day.	[[0.7470191121101379, 0.23399074375629425, 0.003163779154419899, 0.00760730542242527, 0.0023576943203806877, 0.002258964814245701, 0.003602323355153203], [0.9550378322601318, 0.007112649269402027, 0.0005645755445584655, 0.02554304711520672, 0.010460413992404938, 0.0006248944555409253, 0.0006566962110809982], [0.4393346905708313, 0.04074910655617714, 0.002114334609359503, 0.0065870024263858795, 0.5049399733543396, 0.002458882052451372, 0.003816047450527549], [0.969780683517456, 0.007162469904869795, 0.0007300840225070715, 0.012851065024733543, 0.008281093090772629, 0.0007323499885387719, 0.00046215238398872316]]	[0.63822, 0.42006, 0.7060424999999999, 0.16525739999999997, 0.033604499999999926]	2
1	[1, 0]	 Did Joey say what he was gonna go when he left?  No, I don't even think he knew. Hey, would you sleep with somebody to get a great job?	 Did Joey say what he was gonna go when he left?	 No, I don't even think he knew. Hey, would you sleep with somebody to get a great job?	[[0.2904582917690277, 0.004959173034876585, 0.0039612953551113605, 0.019629672169685364, 0.6660987734794617, 0.0031736332457512617, 0.011719206348061562], [0.7897089719772339, 0.09520331770181656, 0.0023714257404208183, 0.009056872688233852, 0.0955098494887352, 0.006367421709001064, 0.0017821883084252477]]	[0.48163916666666673, 0.34329833333333337, 0.5754558333333334, 0.16115157500000002, 0.0431370416666666]	1
0	[1, 0, 1]	 You can not do this.  Do what, do what?  Roger wants to take her out tomorrow night.	 You can not do this. Roger wants to take her out tomorrow night.	 Do what, do what?	[[0.08357878029346466, 0.01498950645327568, 0.007978769950568676, 0.28449273109436035, 0.4715171158313751, 0.011020283214747906, 0.1264229118824005], [0.5845833420753479, 0.13317152857780457, 0.0202403012663126, 0.20842117071151733, 0.021229170262813568, 0.0022542744409292936, 0.03010016679763794], [0.9333935976028442, 0.0421321839094162, 0.002038717968389392, 0.007771836128085852, 0.011146233417093754, 0.0018850903725251555, 0.0016323577146977186]]	[0.5029335714285714, 0.34023000000000003, 0.5859785714285715, 0.15098977857142853, 0.026330321428571446]	2
1	[0, 0, 0, 0, 0, 1, 0, 0]	 Man's got a point.  Well, the tough thing is, she really wants to have sex with me.  Crazy bitch.  Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean.  Joey... we always know what you mean.  Hey.  Hey.  Hey. (Phoebe sees his bags)	 Hey.	 Man's got a point. Well, the tough thing is, she really wants to have sex with me. Crazy bitch. Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean. Joey... we always know what you mean. Hey. Hey. (Phoebe sees his bags)	[[0.8321573734283447, 0.012610290199518204, 0.0019318661652505398, 0.08643788844347, 0.06150403618812561, 0.0034079195465892553, 0.0019505799282342196], [0.6841558814048767, 0.05805094167590141, 0.00429642666131258, 0.04169594496488571, 0.14416489005088806, 0.045259471982717514, 0.02237643301486969], [0.04450061917304993, 0.032193686813116074, 0.0019460773328319192, 0.7959009408950806, 0.016668951138854027, 0.10660645365715027, 0.002183240605518222], [0.9010783433914185, 0.02953878790140152, 0.0009148161043412983, 0.017017299309372902, 0.033602528274059296, 0.005981594789773226, 0.011866718530654907], [0.9163873791694641, 0.06516464799642563, 0.00042256087181158364, 0.006069382186979055, 0.010280929505825043, 0.0010155363706871867, 0.0006596200983040035], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.968649685382843, 0.01493839267641306, 0.0036546937189996243, 0.005706199910491705, 0.005137977190315723, 0.0006294422200880945, 0.0012836463283747435]]	[0.5019445833333332, 0.34640499999999996, 0.5813291666666667, 0.1522174541666667, 0.03725352083333333]	1
0	[0, 1]	 Oh my God!!! What are you doing?!!  You said, you wanna come in for some lemonade?	 You said, you wanna come in for some lemonade?	 Oh my God!!! What are you doing?!!	[[0.0015763106057420373, 0.009393680840730667, 0.9685484766960144, 0.009007057175040245, 0.004586614668369293, 0.003918904811143875, 0.0029689576476812363], [0.9757665991783142, 0.01915213093161583, 0.0004609091265592724, 0.0021295358892530203, 0.001666353433392942, 0.0003897330316249281, 0.00043468328658491373]]	[0.4602633333333333, 0.3233533333333333, 0.54088, 0.14670976666666669, 0.0386488333333333]	1
1	[0, 0, 0]	 Because, I can't! Ross, I told you, no. I can't.  This is my wedding.  All right, y'know what? We really are late! Let's go! Let's go! Let's go!!	<pad>	 Because, I can't! Ross, I told you, no. I can't. This is my wedding. All right, y'know what? We really are late! Let's go! Let's go! Let's go!!	[[0.013642748817801476, 0.01107142772525549, 0.00705660181120038, 0.5920787453651428, 0.23585562407970428, 0.010783068835735321, 0.12951183319091797], [0.3025882840156555, 0.5632081031799316, 0.007582913618534803, 0.08992928266525269, 0.031256143003702164, 0.0006808886537328362, 0.004754520952701569], [0.0310375913977623, 0.13422302901744843, 0.012371473014354706, 0.7271711826324463, 0.020560381934046745, 0.03982218727469444, 0.034814219921827316]]	[0.7816449999999999, 0.47703, 0.73872, 0.11491214999999999, 0.04426075000000007]	0
0	[0, 1, 0, 1]	 Hey, Kicky. What're you doing?  Just trying to get comfortable. I can't sleep in my underwear.  Well, you're gonna.  I've been thinking. Y'know, about how I'm always seeing girls on top of girls...	 Just trying to get comfortable. I can't sleep in my underwear. I've been thinking. Y'know, about how I'm always seeing girls on top of girls...	 Hey, Kicky. What're you doing? Well, you're gonna.	[[0.9166894555091858, 0.07022242248058319, 0.004704993683844805, 0.0031693202909082174, 0.003899810602888465, 0.0006646656547673047, 0.0006494386470876634], [0.8179500699043274, 0.1425299048423767, 0.0018237056210637093, 0.009446348063647747, 0.006494051776826382, 0.014713337644934654, 0.007042658049613237], [0.576300323009491, 0.03250870108604431, 0.001919533940963447, 0.3510063588619232, 0.03372718393802643, 0.0026857727207243443, 0.0018520347075536847], [0.9757164716720581, 0.01587672159075737, 0.0009575001313351095, 0.002030240371823311, 0.002824386116117239, 0.0013128477148711681, 0.0012818829854950309]]	[0.5158596296296296, 0.37478814814814815, 0.6394922222222222, 0.18878706296296296, 0.04593679629629632]	2
